name,value
insettici-e-acaricidi,مبيدات الحشرات والعث
rodenticidi,مبيدات القوارض
disinfettanti-e-solventi,المطهرات والمذيبات
repellenti,طارد الحشرات
solventi-e-veicolanti,المذيبات والحوامل
attrezzature,معدات
monitoraggio-e-prevenzione-insetti,مراقبة الحشرات والوقاية منها
allontanamento-volatili,طرد الطيور
accessori-roditori,ملحقات مكافحة القوارض
endoinfusione,الحقن الداخلي
difesa-delle-piante,حماية النباتات
insetti-e-acari-ausiliari,الحشرات والعث المفيدة
tarli-e-termiti,سوس الخشب والنمل الأبيض
trappole-luminose,مصائد ضوئية
natural,طبيعي
carvex,كارفيكس
